ID	Gene Symbol
1232_s_at	IGFBP1
1233_s_at	AXL
1234_at	EPHA3
1235_at	YWHAZ
1236_s_at	LOC101930150 /// NF1
1237_at	IER3
1238_at	MAPK9
1239_s_at	CASP2
1240_at	CASP2
1241_at	PTP4A2
1242_at	ERF
1243_at	DDB2
1244_at	STAT2
1245_i_at	PAK2
1246_at	PTPRS
1247_g_at	PTPRS
1248_at	POLR2H
1249_at	GAB1
1250_at	PRKDC
1251_g_at	RAP1GAP
1252_at	REEP5
1253_at	GSK3B
1254_at	GUCA1A
1255_g_at	GUCA1A
1256_at	PTPRD
1257_s_at	QSOX1
1258_s_at	ERCC4
1259_at	ZNF23
126_s_at	SSX2 /// SSX2B /// SSX4 /// SSX4B
1260_s_at	GSTA1 /// GSTA2 /// GSTA3
1261_i_at	GSTA1 /// GSTA2
1262_s_at	TGFB2
1263_at	IL3
1264_at	PTPN2
1265_g_at	PTPN2
1266_s_at	LCK
1267_at	PRKCH
1268_at	UBA1
1269_at	PIK3R1
1270_at	RAP1GAP
1271_g_at	RELA
1272_at	EIF2S3
1273_r_at	CDC34
1274_s_at	CDC34
1275_at	PGGT1B
1276_g_at	RBPMS
1277_at	ARHGEF16
1278_at	AXL
1279_s_at	CDK3 /// TEN1-CDK3
128_at	CTSK
1280_i_at	MKNK2
1281_f_at	MKNK2
1282_s_at	MARK2
1283_at	MAP3K13
1284_at	PRKD3
1285_at	NEK1
1286_s_at	
1287_at	PARP1
1288_s_at	EEF1A1
1289_at	GSTM5
129_g_at	CTSK
1290_g_at	GSTM5
1291_s_at	FGFR4
1292_at	DUSP2
1293_s_at	GPLD1
1294_at	MIR5193 /// UBA7
1295_at	RELA
1296_at	CDH15
1297_at	RBPMS
1298_at	ESR1
1299_at	TERF2
130_s_at	NKX2-1
1300_at	XRCC2
1303_at	SH3BP2
1304_at	
1305_s_at	CYP4F2 /// CYP4F3
1306_at	EIF4G1
1307_at	XPA
1308_g_at	XPA
1309_at	PSMB3
131_at	TAF11
1310_at	PSMB2
1311_at	PSMB4
1312_at	PSMD8
1313_at	PSMB7
1314_at	PSMD1
1315_at	OAZ1
1316_at	THRA
1317_at	MST1R
1318_at	RBBP4
1319_at	DDR2
1320_at	PTPN21
1321_s_at	EMP1
1322_at	E2F1
1323_at	UBB
1324_at	RAD9A
1325_at	SMAD1
1326_at	CASP10
1327_s_at	MAP3K5
1328_at	TRAF5
1329_s_at	TERF1
133_at	CTSC
1330_at	MAP3K3
1331_s_at	TNFRSF25
1332_f_at	GH1
1333_f_at	BCR
1334_s_at	CSF3
1335_at	IGF1R
1336_s_at	PRKCB
1337_s_at	RARA
1338_s_at	CYP2A13 /// CYP2A6 /// CYP2A7
1339_s_at	BCR
134_at	ABI2
1340_s_at	HGF
1341_at	SPI1
1342_g_at	TERF1
1343_s_at	SERPINB3
1344_at	PAX3
1345_s_at	PAX3
1346_at	MT3
1347_at	CDC25B
1348_s_at	PCCA
1349_at	
135_g_at	ABI2
1350_at	CYP4F2
1351_at	EPHB4
1352_at	CXCR1
1353_g_at	CXCR1
1354_at	NTRK2
1355_g_at	NTRK2
1356_at	DAP3
1357_at	USP4
1358_s_at	IFI6
1359_at	IL17A
136_at	GPR31
1360_at	XRCC4
1361_at	TERF1
1362_s_at	RXRB
1363_at	FGFR2
1364_at	PTPRZ1
1365_at	IL2RB
1366_i_at	UBC
1367_f_at	UBC
1368_at	IL1R1
1369_s_at	CXCL8
137_at	KLF1
1370_at	IL7R
1371_s_at	CYP2B6 /// CYP2B7P
1372_at	TNFAIP6
1373_at	TCF3
1374_g_at	TCF3
1375_s_at	TIMP2
1376_at	LIG1
1377_at	NFKB1
1378_g_at	NFKB1
1379_at	EPHA2
138_at	MAP4K1
1380_at	FGF7
1381_at	RARB
1382_at	RPA1
1383_at	PPP2R2A
1384_at	PPP2R2B
1385_at	TGFBI
1386_at	PTPN9
1387_at	
1388_g_at	VDR
1389_at	MME
139_at	DLGAP1
1390_s_at	GHRH
1391_s_at	CYP4A11 /// CYP4A22
1392_at	GRK6
1393_at	OCM2
1394_at	RHOA
1395_at	RHOC
1396_at	IGFBP5
1397_at	MAP3K11
1398_g_at	MAP3K11
1399_at	TCEB1
140_s_at	TRA2B
1400_at	CSF2
1401_g_at	CSF2
1402_at	LYN
1403_s_at	CCL5
1404_r_at	CCL5
1405_i_at	CCL5
1406_at	NR2C1
1407_g_at	NR2C1
1408_at	FGF4
1409_at	SRF
141_s_at	BRF1
1410_at	VDR
1411_at	CYP11B1
1412_g_at	CYP11B1 /// CYP11B2
1413_at	
1414_at	
1415_at	
1416_g_at	
1417_at	
1418_at	NOS2
1419_g_at	NOS2
142_at	TAF4
1420_s_at	EIF4A2 /// MIR1248 /// SNORA4 /// SNORA63 /// SNORA81 /// SNORD2
1421_at	CAMK4
1422_g_at	CAMK4
1423_at	UBE2G1
1424_s_at	YWHAH
1425_at	PCDHB11
1426_at	SLA
1427_g_at	SLA
1428_at	THRB
143_s_at	TAF5
1430_at	SST
1431_at	CYP2E1
1432_s_at	LTK
1433_g_at	SMAD3
1434_at	PTEN
1435_f_at	IFNA21
1436_at	CYP2D6
1437_at	PRKCA
1438_at	EPHB3
1439_s_at	MAPKAPK2
144_at	TK2
1440_s_at	FAS
1441_s_at	FAS
1442_at	ESR2
1443_at	DUSP9
1444_at	PSMD9
1445_at	CCRL2
1446_at	PSMA2
1447_at	PSMB1
1448_at	PSMA3
1449_at	PSMA4
145_s_at	TBX5
1450_g_at	PSMA4
1451_s_at	POSTN
1452_at	LMO4
1453_at	SMAD2
1454_at	SMAD3
1455_f_at	CYP2C9
1456_s_at	IFI16
1457_at	JAK1
1458_at	PTPN3
1459_at	PTPN4
146_at	PI4KB
1460_g_at	PTPN4
1461_at	NFKBIA
1462_s_at	POLD1
1463_at	PTPN12
1464_at	MIR483
1465_s_at	MYBL1
1466_s_at	FGF7
1467_at	EPS8
1468_at	TRAP1
1469_at	MAPKAPK2
147_at	TSG101
1470_at	POLD2
1471_at	MYB
1472_g_at	MYB
1473_s_at	MYB
1474_s_at	MYB
1475_s_at	MYB
1476_s_at	MYB
1477_s_at	CYP2C18
1478_at	ITK
1479_g_at	ITK
148_at	ELL2
1480_at	HSPA4
1481_at	MMP12
1482_g_at	MMP12
1483_at	CDH4
